decyear,B-ISMF-bug_rho_abovepyc,B-ISMF-bug_rho_belowpyc
19.916666666666668,1027.18214106906,1027.687534574503
20.0,1027.1671093477612,1027.689563754193
20.083333333333332,1027.1544455470932,1027.683866691896
20.166666666666668,1027.1357362298606,1027.6839301944194
20.25,1027.137254627097,1027.683643071048
20.333333333333332,1027.1151283690822,1027.6854673332268
20.416666666666668,1027.1311295585133,1027.6848880975267
20.5,1027.1463376517988,1027.6845473538258
20.583333333333332,1027.1722301948012,1027.6854615521274
20.666666666666668,1027.1900997522682,1027.6857537463554
20.75,1027.2076769685016,1027.686029861482
20.833333333333332,1027.2180806358608,1027.6804606480398
20.916666666666668,1027.2102894884338,1027.6875532083661
21.0,1027.1951299139917,1027.6736271568918
21.083333333333332,1027.1852407207195,1027.676906689833
21.166666666666668,1027.1951952565378,1027.6767513250404
21.25,1027.221247953728,1027.6710444033517
21.333333333333332,1027.2260294643384,1027.670262906217
21.416666666666668,1027.2129639104091,1027.6688902161768
21.5,1027.2044579906487,1027.680793700862
21.583333333333332,1027.2272702756998,1027.6874857046291
21.666666666666668,1027.2463839714892,1027.6882064837368
21.75,1027.2519928935008,1027.6879969522904
21.833333333333332,1027.254792290973,1027.6882277730076
21.916666666666668,1027.24302711478,1027.6897809289633
22.0,1027.219085560186,1027.6920576688253
22.083333333333332,1027.2244125062657,1027.6790460302166
22.166666666666668,1027.2125930451284,1027.6792086494343
22.25,1027.2098264302847,1027.6690127718352
22.333333333333332,1027.198702532999,1027.6664394633133
22.416666666666668,1027.1890097323383,1027.6673911980727
22.5,1027.193364761766,1027.6751833443611
22.583333333333332,1027.209012986018,1027.6802967615426
22.666666666666668,1027.2400951240752,1027.6767295691322
22.75,1027.2532491941695,1027.6779426920243
22.833333333333332,1027.2587127787178,1027.6777120775062
22.916666666666668,1027.2559781216592,1027.673888130988
23.0,1027.2321163614606,1027.6754955843153
23.083333333333332,1027.2194727725848,1027.6719011272735
23.166666666666668,1027.2085305929081,1027.67290936957
23.25,1027.2058841096998,1027.6766191981171
23.333333333333332,1027.224440880795,1027.6698730163007
23.416666666666668,1027.2355676744407,1027.6678442495268
23.5,1027.2315184408897,1027.6749417459102
23.583333333333332,1027.2454578248526,1027.6742416910076
23.666666666666668,1027.2599845692625,1027.6801376117073
23.75,1027.264912828769,1027.6858376454284
23.833333333333332,1027.2672515231905,1027.6864795447977
23.916666666666668,1027.2597609645227,1027.6882476297174
24.0,1027.2319976771653,1027.6834000446954
24.083333333333332,1027.208377943575,1027.683897616108
24.166666666666668,1027.211399026128,1027.6795931583151
24.25,1027.2154220894777,1027.6739434770238
24.333333333333332,1027.227755426379,1027.6685919473905
24.416666666666668,1027.2102414551862,1027.6739638898196
24.5,1027.201956713233,1027.680237859024
24.583333333333332,1027.2279645185126,1027.6812155102252
24.666666666666668,1027.2567599422975,1027.6837755486572
24.75,1027.2634980156115,1027.682711604712
24.833333333333332,1027.2619844583064,1027.682335429234
24.916666666666668,1027.2537800329005,1027.6837633871987
25.0,1027.2371253472588,1027.6875900382795
25.083333333333332,1027.2117202241886,1027.6876686550092
25.166666666666668,1027.1904127097318,1027.6767012619457
25.25,1027.1932380799703,1027.6818907455627
25.333333333333332,1027.1996037173592,1027.680002474759
25.416666666666668,1027.2100971103014,1027.6747603765934
25.5,1027.2132636117117,1027.6833132095378
25.583333333333332,1027.237258764536,1027.6841504338433
25.666666666666668,1027.2562527780722,1027.6843285043751
25.75,1027.2675315082633,1027.6851241678482
25.833333333333332,1027.270194672614,1027.6863949139365
25.916666666666668,1027.2596740992951,1027.687446846365
26.0,1027.2434367963206,1027.6903252815282
26.083333333333332,1027.2319759163981,1027.6701289826995
26.166666666666668,1027.2352446671441,1027.6709464718397
26.25,1027.259335114655,1027.6693658788442
26.333333333333332,1027.2628330774926,1027.6682043091707
26.416666666666668,1027.2584955825314,1027.6751614390505
26.5,1027.2496249792916,1027.6774318644793
26.583333333333332,1027.2570563255308,1027.6826259905847
26.666666666666668,1027.2690433939747,1027.6832152480736
26.75,1027.2874551042253,1027.6845600733166
26.833333333333332,1027.293602199003,1027.6853255608514
26.916666666666668,1027.2855865695583,1027.6878338914287
27.0,1027.2645253531352,1027.6892526096406
27.083333333333332,1027.2431410681008,1027.6879686161406
27.166666666666668,1027.2177210765178,1027.6863894640348
27.25,1027.2160438055334,1027.6799543788195
27.333333333333332,1027.2175137159802,1027.677059356193
27.416666666666668,1027.2171681680497,1027.6764775736203
27.5,1027.2269815201478,1027.676337653143
